一个	yi2'ge4
椿龄	chun1'ling2
楂楂	cha2'cha2
楅衡	fu2'heng2
楔子	xie1'zi5
楔子	xie4'zi5
楖人	jie2'ren2
楚些	chu3'suo4
楚辱	chu3'ru4
楛矢	hu4'shi3
楞严	leng4'yan2
楞住	leng4'zhu4
楞层	leng2'ceng2
楞睁	leng4'zheng1
楞迦	leng2'jia1
楥头	xuan4'tou5
楦头	xuan4'tou5
楦子	xuan4'zi5
楮镪	chu3'qiang2
楷书	kai3'shu1
楷体	kai3'ti3
楷则	kai3'ze2
楷字	kai3'zi4
楷式	kai3'shi4
楷模	kai3'mo2
楷法	kai3'fa3
楷隶	kai3'li4
楼子	lou2'zi5
楼车	lou2'ju1
概括	gai4'gua1
概数	gai4'shu4
概率	gai4'lv4
榆塞	yu2'sai4
榔头	lang2'tou5
榛子	zhen1'zi5
榜人	beng4'ren2
榜女	beng4'nv3
榜帖	bang3'tie3
榜掠	beng4'lve4
榜楚	beng4'chu3
榜歌	beng4'ge1
榜笞	bang4'chi1
榜笞	beng4'chi1
榜箠	beng4'chui2
榧子	fei3'zi5
榫凿	sun3'zao2
榫头	sun3'tou5
榫子	sun3'zi5
榴弹	liu2'dan4
槃旋	pan2'xuan2
槅子	ge2'zi5
槌子	chui2'zi5
槛槛	jian4'jian4
槛车	jian4'che1
槛车	jian4'ju1
槟城	bin1'cheng2
槟子	bin1'zi5
槟榔	bin1'lang2
槟榔	bing1'lang5
槭木	qi1'mu4
槽坊	cao2'fang5
槽子	cao2'zi5
樀樀	di2'di2
樗散	shu1'san3
樗材	shu1'cai2
樗栎	shu1'li4
樗蒲	shu1'pu2
樛曲	jiu1'qu1
樛结	jiu1'jie2
樝子	zha1'zi5
模书	mo2'shu1
模仿	mo2'fang3
模似	mo2'si4
模倣	mo2'fang3
模傚	mo2'xiao4
模写	mo2'xie3
模块	mo2'kuai4
模型	mo2'xing2
模子	mu2'zi5
模式	mo2'shi4
模形	mo2'xing2
模态	mo2'tai4
模拟	mo2'ni3
模效	mo2'xiao4
模本	mo2'ben3
模样	mu2'yang4
模棱	mo2'leng2
模棱	mo2'leng2
模楷	mo2'kai3
模特	mo2'te4
模糊	mo2'hu5
模组	mo2'zu3
模胡	mo2'hu5
模范	mo2'fan4
模表	mo2'biao3
模黏	mo2'nian2
横事	heng4'shi4
横亘	heng2'gen4
横亡	heng4'wang2
横写	heng2'xie3
横切	heng2'qie1
横列	heng2'lie4
横劲	heng4'jin4
横匾	heng2'bian3
横卧	heng2'wo4
横厉	heng4'li4
横县	heng2'xian4
横向	heng2'xiang4
横吹	heng2'chui1
横塘	heng2'tang2
横夭	heng4'yao1
横头	heng2'tou2
横山	heng2'shan1
横峰	heng2'feng1
横帧	heng2'zhen1
横帧	heng2'zheng4
横幅	heng2'fu2
横心	heng2'xin1
横恣	heng4'zi4
横截	heng2'jie2
横扫	heng2'sao3
横批	heng2'pi1
横折	heng2'zhe2
横折	heng2'zhe2
横披	heng2'pi1
横政	heng4'zheng4
横斜	heng2'xie2
横断	heng2'duan4
横是	heng2'shi5
横暴	heng4'bao4
横木	heng2'mu4
横杠	heng2'gang4
横标	heng2'biao1
横梁	heng2'liang2
横梗	heng2'geng3
横楣	heng2'mei2
横步	heng2'bu4
横波	heng2'bo1
横浜	heng2'bin1
横渠	heng2'qu2
横渡	heng2'du4
横溢	heng2'yi4
横滨	heng2'bin1
横生	heng2'sheng1
横痃	heng2'xian2
横目	heng2'mu4
横直	heng2'zhi2
横眉	heng2'mei2
横看	heng2'kan4
横眼	heng2'yan3
横祸	heng4'huo4
横秋	heng2'qiu1
横空	heng2'kong1
横穿	heng2'chuan1
横竖	heng2'shu4
横竖	heng2'shu5
横笔	heng2'bi3
横笛	heng2'di2
横纲	heng2'gang1
横纹	heng2'wen2
横线	heng2'xian4
横肉	heng2'rou4
横膈	heng2'ge2
横舍	heng2'she4
横蛮	heng4'man2
横行	heng2'xing2
横街	heng2'jie1
横议	heng4'yi4
横话	heng4'hua4
横贯	heng2'guan4
横越	heng2'yue4
横跨	heng2'kua4
横路	heng2'lu4
横身	heng2'shen1
横躺	heng2'tang3
横轴	heng2'zhou2
横过	heng2'guo4
横逆	heng4'ni4
横逸	heng2'yi4
横钩	heng2'gou1
横队	heng2'dui4
横陈	heng2'chen2
横隔	heng2'ge2
横难	heng4'nan4
横额	heng2'e2
横飞	heng2'fei1
横骨	heng2'gu3
樯帆	qiang2'fan2
橘子	ju2'zi5
橙子	cheng2'zi5
橡浆	xiang4'jiang1
橦布	tong2'bu4
橹棹	lu3'zhao4
檀车	tan2'ju1
欃枪	chan2'cheng1
欠当	qian4'dang4
次且	zi1'ju1
次数	ci4'shu4
次着	ci4'zhuo2
次长	ci4'zhang3
欢乐	huan1'le4
欢势	huan1'shi5
欢实	huan1'shi5
欢度	huan1'du4
欢洽	huan1'xia2
欣企	xin1'qi4
欧分	ou1'fen1
欲待	yu4'dai4
欷吁	xi1'xu1
欸乃	ai3'nai3
欺蒙	qi1'meng2
欺诬	qi1'wu2
欺谩	qi1'man2
欺负	qi1'fu4
欺负	qi1'fu5
欻吸	hu1'xi1
欻拉	chua1'la1
款儿	kuan3'r5
款塞	kuan3'sai4
款子	kuan3'zi5
款式	kuan3'shi4
款式	kuan3'shi5
款待	kuan3'dai4
款曲	kuan3'qu1
款识	kuan3'zhi4
歇处	xie1'chu4
歇宿	xie1'su4
歇息	xie1'xi5
歌乐	ge1'yue4
歌儿	ge1'r5
歌吹	ge1'chui4
歌子	ge1'zi5
歌扇	ge1'shan4
歌曲	ge1'qu3
歌行	ge1'xing2
歌调	ge1'diao4
歕饭	pen1'fan4
歙张	xi4'zhang1
歙歙	xi4'xi4
歙肩	xi4'jian1
歙赩	xi4'xi4
止咳	zhi3'ke2
止宿	zhi3'su4
止息	zhi3'xi2
止血	zhi3'xie3
正传	zheng4'zhuan4
正和	zheng4'he2
正宁	zheng4'ning2
正安	zheng1'an1
正待	zheng4'dai4
正教	zheng4'jiao4
正数	zheng4'shu4
正旦	zheng1'dan4
正旦	zheng4'dan4
正月	zheng1'yue4
正朔	zheng1'shuo4
正楷	zheng1'kai3
正楷	zheng4'kai3
正片	zheng4'pian4
正着	zheng4'zhao2
正经	zheng4'jing1
正经	zheng4'jing5
正鹄	zheng1'gu3
正鹄	zheng4'gu3
此地	ci3'di4
此间	ci3'jian1
步伐	bu4'fa1
步击	bu4'ji2
步子	bu4'zi5
步操	bu4'cao1
步砌	bu4'qie4
步行	bu4'xing2
步调	bu4'diao4
步骑	bu4'ji4
武场	wu3'chang2
武宁	wu3'ning2
武将	wu3'jiang4
武强	wu3'qiang2
武断	wu3'duan4
武断	wu4'duan4
武行	wu3'hang2
武都	wu3'du1
歪曲	wai1'qu1
歪派	wai1'pai5
死地	si3'di4
死寂	si3'ji2
死当	si3'dang4
死性	si3'xing5
死期	si3'qi2
死相	si3'xiang4
死结	si3'jie2
殁地	mo4'di4
殂落	cu2'luo4
殃煞	yang1'sha4
殉教	xun4'jiao4
殉难	xun4'nan4
残卷	can2'juan4
残贼	can2'ze2
殒没	yun3'mo4
殒落	yun3'luo4
殗殜	ye4'ye4
殚闷	dan1'men4
殴击	ou1'ji2
殴辱	ou1'ru4
段头	duan4'tou5
段子	duan4'zi5
段数	duan4'shu4
段落	duan4'luo4
殷切	yin1'qie4
殷正	yin1'zheng1
殷然	yan1'ran2
殷盛	yin1'sheng4
殷红	yan1'hong2
殷都	yin1'du1
殿屎	dian4'xi1
毁訾	hui3'zi3
毂下	gu3'xia4
毂辘	gu1'lu5
毋宁	wu2'ning2
毋得	wu2'de2
母丧	mu3'sang1
母亲	mu3'qin1
母弹	mu3'dan4
母教	mu3'jiao4
母校	mu3'xiao4
每处	mei3'chu4
每当	mei3'dang1
毒刺	du2'ci4
比亲	bi4'qin1
比兴	bi3'xing4
比分	bi3'fen1
比划	bi3'hua4
比划	bi3'hua5
比及	bi4'ji2
比周	bi4'zhou1
比屋	bi4'wu1
比岁	bi4'sui4
比干	bi3'gan1
比年	bi4'nian2
比度	bi3'du4
比才	bi3'cai2
比才	bi4'cai2
比捕	bi4'bu3
比数	bi3'shu3
比数	bi3'shu4
比方	bi3'fang5
比来	bi4'lai2
比校	bi3'jiao4
比比	bi4'bi4
比率	bi3'lv4
比肩	bi4'jian1
比至	bi4'zhi4
比舍	bi4'she4
比试	bi3'shi5
比踪	bi4'zong1
比迹	bi3'ji1
比邻	bi4'lin2
比重	bi3'zhong4
比量	bi3'liang4
比量	bi3'liang5
毕宿	bi4'xiu4
毛刷	mao2'shua4
毛刺	mao2'ci4
毛厕	mao2'si5
毛发	mao2'fa3
毛司	mao2'si5
毛咕	mao2'gu5
毛坯	mao2'pei1
毛子	mao2'zi5
毛毛	mao2'mao2
毛毛	mao2'mao5
毛渠	mao2'qu2
毛燕	mao2'yan4
毛片	mao2'pian4
毛血	mao2'xie3
毛重	mao2'zhong4
毡子	zhan1'zi5
毣毣	mao4'mao4
毫发	hao2'fa3
毫子	hao2'zi5
毯子	tan3'zi5
毰毸	pei2'sai1
毷氉	mao4'zao4
毽子	jian4'zi5
氄刺	rong3'ci4
氍毹	qu2'shu1
氍毹	qu2'yu2
氐羌	di1'qiang1
民乐	min2'yue4
民和	min2'he2
民埝	min2'nian4
民调	min2'diao4
民间	min2'jian1
氓隶	mang2'li4
气丧	qi4'sang4
气分	qi4'fen5
气圈	qi4'quan1
气塞	qi4'sai1
气塞	qi4'se4
气度	qi4'du4
气强	qi4'qiang2
气性	qi4'xing5
气息	qi4'xi2
气数	qi4'shu4
气旋	qi4'xuan2
气派	qi4'pai5
气炸	qi4'zha4
气盛	qi4'sheng4
气结	qi4'jie2
气脉	qi4'mai4
气量	qi4'liang4
气量	qi4'liang5
气钻	qi4'zuan1
气闷	qi4'men4
氢弹	qing1'dan4
氧吧	yang3'ba1
水分	shui3'fen4
水和	shui3'he2
水圈	shui3'quan1
水宿	shui3'xiu4
水曲	shui3'qu1
水泥	shui3'ni2
水獭	shui3'ta4
水相	shui3'xiang1
水脉	shui3'mai4
水落	shui3'luo4
水蓼	shui3'liao3
水都	shui3'du1
水量	shui3'liang4
水钻	shui3'zuan4
永乐	yong3'le4
永兴	yong3'xing1
永和	yong3'he2
永夕	yong3'xi4
永宁	yong3'ning2
氹仔	dang4'zai3
汀曲	ting1'qu1
汀泞	ting1'ning2
求亲	qiu2'qin1
求假	qiu2'jia4
求和	qiu2'he2
求宿	qiu2'su4
求得	qiu2'de2
求教	qiu2'jiao4
汆子	cuan1'zi5
汇划	hui4'hua4
汇差	hui4'cha1
汇率	hui4'lv4
汉子	han4'zi3
汉子	han4'zi5
汉朝	han4'chao2
汉调	han4'diao4
汊子	cha4'zi5
汐止	xi4'zhi3
汗液	han4'yi4
汗臭	han4'chou4
汗迹	han4'ji1
汛地	xun4'di4
汛扫	xun4'sao3
汛期	xun4'qi2
汞齐	gong3'ji4
江宁	jiang1'ning2
江干	jiang1'gan1
江湖	jiang1'hu2
江湖	jiang1'hu5
江都	jiang1'du1
江靡	jiang1'mi3
池子	chi2'zi5
污尊	wa1'zun1
污庳	wa1'bei1
污水	wu1'shui3
污水	yu2'shui3
污泥	wu1'ni2
污膺	wa1'ying1
污辱	wu1'ru4
汤汤	shang1'shang1
汤着	tang1'zhao2
汩徂	yu4'cu2
汩没	gu3'mo4
汩流	yu4'liu2
汩越	yu4'yue4
汪濊	wang1'wei4
汪踦	wang1'qi2
汴堤	bian4'ti2
汸汸	pang1'pang1
汽辗	qi4'nian3
沈括	shen3'gua1
沈着	chen2'zhuo2
沉寂	chen2'ji2
沉没	chen2'mo4
沉疴	chen2'e1
沉着	chen2'zhuo2
沉脉	chen2'mai4
沉落	chen2'luo4
沉重	chen2'zhong4
沉闷	chen2'men4
沉降	chen2'jiang4
沏油	qu1'you2
沙参	sha1'shen1
沙哑	sha1'ya3
沙嗲	sha1'die1
沙地	sha1'di4
沙子	sha1'zi5
沙鸡	cha1'ji1
沟壑	gou1'huo4
沟沿	gou1'yan2
沟渠	gou1'qu2
没下	mei2'xia4
没下	mo4'xia4
没世	mo4'shi4
没乱	mo4'luan4
没了	mei2'le5
没了	mo4'le5
没人	mei2'ren2
没人	mo4'ren2
没入	mo4'ru4
没兴	mei2'xing4
没劲	mei2'jin4
没后	mo4'hou4
没地	mei2'de5
没地	mei2'di4
没地	mo4'di4
没官	mo4'guan1
没得	mei2'de5
没揣	mei2'chuai3
没收	mei2'shou1
没收	mo4'shou1
没水	mei2'shui3
没水	mo4'shui3
没没	mo4'mo4
没溺	mo4'ni4
没甚	mei2'shen2
没空	mei2'kong4
没药	mo4'yao4
没落	mo4'luo4
没身	mo4'shen1
没辙	mei2'zhe2
没顶	mo4'ding3
没骨	mo4'gu3
没齿	mo4'chi3
沤凼	ou4'dang4
沤子	ou1'zi5
沤篮	ou1'lan2
沤肥	ou4'fei2
沤郁	ou4'yu4
沤麻	ou4'ma2
沦丧	lun2'sang4
沦没	lun2'mo4
沦漪	lun2'yi3
沦落	lun2'luo4
沦迹	lun2'ji1
沧浪	cang1'lang2
沪宁	hu4'ning2
沮丧	ju3'sang4
沮水	ju1'shui3
沮泽	ju4'ze2
沮洳	ju4'ru4
沮溺	ju1'ni4
沮诵	ju1'song4
河叉	he2'cha4
河堤	he2'ti2
河沿	he2'yan4
河渠	he2'qu2
河蚌	he2'bang4
河隄	he2'ti2
沸沸	fei4'fei4
沸沸	fu2'fu2
油子	you2'zi5
油旋	you2'xuan2
油泥	you2'ni2
油炸	you2'zha2
油煠	you2'zha2
油盖	you2'gai4
油藏	you2'cang2
油行	you2'hang2
油裙	you2'qun5
油香	you2'xiang5
治丧	zhi4'sang1
治绩	zhi4'ji1
治行	zhi4'xing2
治行	zhi4'xing4
治迹	zhi4'ji1
治际	zhi4'jun1
沼泥	zhao3'ni2
沼狸	zhao3'li5
沾亲	zhan1'qin1
沾洽	zhan1'xia2
沾粘	zhan1'nian2
沾辱	zhan1'ru4
沿习	yan2'xi2
沿例	yan2'li4
沿儿	yan2'r5
沿子	yan2'zi5
沿岸	yan2'an4
沿江	yan2'jiang1
沿河	yan2'he2
沿洄	yan2'hui2
沿海	yan2'hai3
沿溯	yan2'su4
沿滩	yan2'tan1
沿用	yan2'yong4
沿着	yan2'zhe5
沿线	yan2'xian4
沿街	yan2'jie1
沿袭	yan2'xi2
沿路	yan2'lu4
沿身	yan2'shen1
沿边	yan2'bian1
沿途	yan2'tu2
沿革	yan2'ge2
泄劲	xie4'jin4
泄沓	yi4'ta4
泄泄	yi4'yi4
泄漏	xie4'lou4
泄漏	xie4'lou4
泄漏	xie4'lu4
泄漏	xie4'lu4
泄露	xie4'lu4
泉脉	quan2'mai4
泌尿	mi4'niao4
泌瀄	mi4'jie2
泌阳	bi4'yang2
泓澄	hong2'cheng2
法冠	fa3'guan1
法国	fa3'guo2
法国	fa4'guo2
法子	fa2'zi5
法子	fa3'zi5
法帖	fa3'tie4
法度	fa3'du4
法式	fa3'shi4
法式	fa4'shi4
法教	fa3'jiao4
法文	fa3'wen2
法文	fa4'wen2
法曲	fa3'qu3
法相	fa3'xiang4
法称	fa3'cheng1
法藏	fa3'zang4
法语	fa3'yu3
法语	fa4'yu3
泙泙	peng1'peng1
泙湃	peng1'pai4
泛头	fan4'tou5
泛子	fan4'zi5
泛称	fan4'cheng1
泛称	fan4'cheng1
泛驾	feng3'jia4
泜泜	chi2'chi2
泡吧	pao4'ba1
泡子	pao1'zi5
泡子	pao4'zi5
泡桐	pao1'tong2
泡桐	pao4'tong2
泡泡	pao1'pao1
泡泡	pao4'pao4
泡货	pao1'huo4
泡面	pao1'mian4
泡面	pao4'mian4
波扇	bo1'shan4
波折	bo1'zhe2
波数	bo1'shu4
波涛	bo1'tao2
波累	bo1'lei3
波蹅	bo1'cha3
波长	bo1'chang2
泥中	ni2'zhong1
泥丸	ni2'wan2
泥人	ni2'ren2
泥刀	ni2'dao1
泥古	ni4'gu3
泥土	ni2'tu3
泥地	ni2'di4
泥坑	ni2'keng1
泥坯	ni2'pi1
泥垢	ni2'gou4
泥堆	ni2'dui1
泥塑	ni2'su4
泥塘	ni2'tang2
泥墙	ni2'qiang2
泥头	ni2'tou2
泥子	ni4'zi5
泥孩	ni2'hai2
泥守	ni4'shou3
泥封	ni2'feng1
泥岩	ni2'yan2
泥崩	ni2'beng1
泥工	ni2'gong1
泥巴	ni2'ba1
泥掌	ni2'zhang3
泥水	ni2'shui3
泥污	ni2'wu1
泥沙	ni2'sha1
泥沼	ni2'zhao3
泥泞	ni2'ning4
泥流	ni2'liu2
泥浆	ni2'jiang1
泥涂	ni2'tu2
泥淖	ni2'nao4
泥滓	ni2'zi3
泥滞	ni4'zhi4
泥潦	ni2'lao4
泥潭	ni2'tan2
泥灰	ni2'hui1
泥灶	ni2'zao4
泥炭	ni2'tan4
泥煤	ni2'mei2
泥版	ni2'ban3
泥牛	ni2'niu2
泥犁	ni2'li2
泥猪	ni2'zhu1
泥疗	ni2'liao2
泥砖	ni2'zhuan1
泥窗	ni2'chuang1
泥肥	ni2'fei2
泥胎	ni2'tai1
泥脚	ni2'jiao3
泥腿	ni2'tui3
泥蟠	ni2'pan2
泥质	ni2'zhi2
泥质	ni2'zhi4
泥酒	ni4'jiu3
泥醉	ni2'zui4
泥金	ni2'jin1
泥铲	ni2'chan3
泥饮	ni4'yin3
泥首	ni2'shou3
泥马	ni2'ma3
泥鳅	ni2'qiu5
泥鳗	ni2'man2
泥龙	ni2'long2
注子	zhu4'zi5
注疏	zhu4'shu4
注重	zhu4'zhong4
泬寥	xue4'liao2
泯没	min3'mo4
泯迹	min3'ji1
泰兴	tai4'xing1
泰勒	tai4'le4
泰华	tai4'hua4
泰和	tai4'he2
泰宁	tai4'ning2
泰阿	tai4'e1
泱轧	yang1'ya4
泷冈	shuang1'gang1
泷夫	long2'fu1
泷水	shuang1'shui3
泷泷	long2'long2
泷泽	long2'ze2
泷漉	long2'lu4
泷船	long2'chuan2
泻肚	xie4'du4
泼剌	po1'la4
泼辣	po1'la5
泽当	ze2'dang1
洁操	jie2'cao1
洇湿	yin1'shi1
洋劲	yang2'jing4
洋场	yang2'chang2
洋壳	yang2'qiao4
洋教	yang2'jiao4
洋片	yang2'pian1
洋相	yang2'xiang4
洋行	yang2'hang2
洒如	xian3'ru2
洒家	sa3'jia1
洒扫	sa3'sao3
洒淅	xian3'xi1
洒濯	xi3'zhuo2
洒然	xian3'ran2
洒脱	sa3'tuo5
洒落	sa3'luo4
洗刷	xi3'shua1
洗泥	xi3'ni2
洗濯	xi3'zhuo2
洗然	xian3'ran2
洗马	xian3'ma3
洚洞	jiang4'tong2
洛宁	luo4'ning2
洛扎	luo4'zha1
洞壑	dong4'huo4
洞穴	dong4'xue4
洪洞	hong2'tong4
洪涛	hong2'tao2
洪量	hong2'liang4
洲场	zhou1'chang2
洸洸	guang1'guang1
洸洸	huang3'huang3
活便	huo2'bian4
活便	huo2'bian5
活储	huo2'chu2
活儿	huo2'r5
活变	huo2'bian5
活埋	huo2'mai2
活塞	huo2'sai1
活度	huo2'du4
活期	huo2'qi2
活泛	huo2'fan4
活泛	huo2'fan5
活泼	huo2'po1
活泼	huo2'po5
活着	huo2'zhao1
活着	huo2'zhe5
活结	huo2'jie2
活血	huo2'xie3
洼地	wa1'di4
洼地	wa1'di4
洽商	qia4'shang1
洽商	xia2'shang1
洽恰	qia4'qia4
洽恰	xia2'qia4
洽濡	qia4'ru2
洽濡	xia2'ru2
洽谈	qia4'tan2
洽谈	xia2'tan2
洽闻	qia4'wen2
洽闻	xia2'wen2
流传	liu2'chuan2
流子	liu2'zi5
流干	liu2'gan1
流弹	liu2'dan4
流徵	liu2'zhi3
流播	liu2'bo4
流散	liu2'san4
流氓	liu2'mang2
流眄	liu2'mian3
流落	liu2'luo4
流行	liu2'xing2
流量	liu2'liang4
流露	liu2'lu4
浃日	jia2'ri4
浃洽	jia2'xia2
浃浃	jia2'jia2
浃渫	jia2'xie4
浃背	jia2'bei4
浃辰	jia2'chen2
浅子	qian3'zi5
浅浅	jian1'jian1
浅薄	qian3'bo2
浅露	qian3'lu4
浅鲜	qian3'xian3
浆子	jiang1'zi5
浆果	jiang1'guo3
浆洗	jiang1'xi3
浆液	jiang1'ye4
浆硬	jiang1'ying4
浆糊	jiang1'hu2
浆纸	jiang4'zhi3
浆膜	jiang1'mo2
浆膜	jiang1'mo4
浇头	jiao1'tou5
浇薄	jiao1'bo2
浊度	zhuo2'du4
测度	ce4'du4
测度	ce4'duo4
测量	ce4'liang2
济南	ji3'nan2
济宁	ji4'ning2
济度	ji4'du4
济恶	ji4'e4
济楚	ji3'chu3
济水	ji3'shui3
济济	ji3'ji3
浑元	hun4'yuan2
浑号	hun4'hao4
浑名	hun4'ming2
浑天	hun4'tian1
浑敦	hun4'dun1
浑朴	hun2'pu2
浑殽	hun4'yao2
浑沌	hun4'dun4
浑沦	hun4'lun2
浑浑	gun3'gun3
浑浑	hun2'hun2
浑浑	hun4'hun4
浑球	hun4'qiu2
浑盖	hun2'gai4
浑账	hun4'zhang4
浓度	nong2'du4
浓抹	nong2'mo3
浓重	nong2'zhong4
浣涤	huan3'di2
浣濯	huan4'zhuo2
浣熊	huan3'xiong2
浣熊	wan3'xiong2
浣衣	huan3'yi1
浣雪	huan3'xue3
浪头	lang4'tou5
浪掷	lang4'zhi2
浪浪	lang2'lang2
浪涛	lang4'tao2
浪迹	lang4'ji1
浮子	fu2'zi5
浮沤	fu2'ou1
浮漂	fu2'piao1
浮空	fu2'kong1
浮脉	fu2'mai4
浮薄	fu2'bao2
浮薄	fu2'bo2
浮铺	fu2'pu4
浮靡	fu2'mi3
海兴	hai3'xing1
海凸	hai3'tu2
海参	hai3'shen1
海地	hai3'di4
海堤	hai3'ti2
海子	hai3'zi5
海宁	hai3'ning2
海扇	hai3'shan4
海曲	hai3'qu1
海涛	hai3'tao2
海燕	hai3'yan4
海獭	hai3'ta4
海监	hai3'jian1
海相	hai3'xiang1
海苔	hai3'tai2
海蜇	hai3'zhe2
海行	hai3'xing2
海都	hai3'du1
海量	hai3'liang4
海难	hai3'nan4
浸没	jin4'mo4
浸渐	jin4'jian4
浸种	jin4'zhong3
浽溦	sui1'wei1
涂刷	tu2'shua1
涂地	tu2'di4
涂抹	tu2'mo3
涂潦	tu2'lao4
消停	xiao1'ting5
消息	xiao1'xi2
消息	xiao1'xi5
消折	xiao1'she2
消散	xiao1'san4
消磨	xiao1'mo2
消长	xiao1'zhang3
涎涎	yan4'yan4
涎脸	xian2'lian5
涒邻	jun1'lin2
涡口	guo1'kou3
涡喷	wo1'pen1
涡扇	wo1'shan4
涡旋	wo1'xuan2
涡核	wo1'he2
涡桨	wo1'jiang3
涡河	guo1'he2
涡流	wo1'liu2
涡虫	wo1'chong2
涡轮	wo1'lun2
涡阳	guo1'yang2
涣散	huan4'san4
涤卡	di2'ka3
涧壑	jian4'huo4
涨价	zhang3'jia4
涨停	zhang3'ting2
涨到	zhang3'dao4
涨势	zhang3'shi4
涨幅	zhang3'fu2
涨水	zhang3'shui3
涨海	zhang4'hai3
涨满	zhang4'man3
涨潮	zhang3'chao2
涨红	zhang4'hong2
涨落	zhang3'luo4
涨跌	zhang3'die1
涨跌	zhang3'die2
涨钱	zhang3'qian2
涨风	zhang3'feng1
涩脉	se4'mai4
涯分	ya2'fen4
涳蒙	kong1'meng2
涵煦	han2'xu3
涵盖	han2'gai4
涸干	hao4'gan1
涿郡	zhuo2'jun4
涿鹿	zhuo2'lu4
淈泥	gu3'ni2
淋巴	lin2'ba1
淋浴	lin2'yu4
淋淋	lin2'lin2
淋湿	lin2'shi1
淋溲	lin2'sou1
淋漓	lin2'li2
淋病	lin2'bing4
淋菌	lin2'jun4
淋证	lin2'zheng4
淋铃	lin2'ling2
淋雨	lin2'yu3
淋零	lin2'ling2
淑世	shu2'shi4
淑人	shu2'ren2
淑化	shu2'hua4
淑均	shu2'jun1
淑女	shu2'nv3
淑姿	shu2'zi1
淑媛	shu2'yuan4
淑尤	shu2'you2
淑弟	shu2'di4
淑德	shu2'de2
淑性	shu2'xing4
淑慎	shu2'shen4
淑懿	shu2'yi4
淑景	shu2'jing3
淑气	shu2'qi4
淑清	shu2'qing1
淑美	shu2'mei3
淑胤	shu2'yin4
淑范	shu2'fan4
淑郁	shu2'yu4
淑问	shu2'wen4
淖糜	nao4'mi2
淘换	tao2'huan5
淘澄	tao2'cheng2
淘空	tao2'kong1
淘箩	tao2'luo2
淜滂	peng1'pang1
淡抹	dan4'mo3
淡薄	dan4'bo2
淤塞	yu1'se4
淤泥	yu1'ni2
淤血	yu1'xie3
淫乐	yin2'le4
淫奔	yin2'ben1
淫潦	yin2'lao4
淫行	yin2'xing2
淫靡	yin2'mi3
深切	shen1'qie4
深处	shen1'chu4
深度	shen1'du4
深省	shen1'xing3
深究	shen1'jiu4
深空	shen1'kong1
深藏	shen1'cang2
深重	shen1'zhong4
深长	shen1'chang2
淳和	chun2'he2
淳朴	chun2'pu2
淳絜	chun2'jie2
混一	hun4'yi1
混乱	hun4'luan4
混事	hun4'shi4
混交	hun4'jiao1
混人	hun4'ren2
混作	hun4'zuo4
混元	hun4'yuan2
混入	hun4'ru4
混冥	hun4'ming2
混凝	hun4'ning2
混号	hun4'hao4
混合	hun4'he2
混同	hun4'tong2
混名	hun4'ming2
混吣	hun4'qin4
混和	hun4'he2
混和	hun4'huo4
混堂	hun4'tang2
混夷	kun1'yi2
混子	hun4'zi5
混家	hun4'jia1
混居	hun4'ju1
混帐	hun4'zhang4
混成	hun4'cheng2
混战	hun4'zhan4
混打	hun4'da3
混搅	hun4'jiao3
混搭	hun4'da1
混杂	hun4'za2
混棍	hun4'gun4
混汞	hun4'gong3
混沌	hun4'dun4
混沦	hun4'lun2
混淆	hun4'xiao2
混淆	hun4'yao2
混混	gun3'gun3
混混	hun4'hun4
混熟	hun4'shou2
混猜	hun4'cai1
混种	hun4'zhong3
混糖	hun4'tang2
混纺	hun4'fang3
混编	hun4'bian1
混缠	hun4'chan2
混蒙	hun4'meng1
混血	hun4'xie3
混血	hun4'xue4
混行	hun2'xing2
混说	hun4'shuo1
混账	hun4'zhang4
混赖	hun4'lai4
混践	hun4'jian4
混进	hun4'jin4
混迹	hun4'ji1
混迹	hun4'ji4
混钱	hun4'qian2
混闹	hun4'nao4
混音	hun4'yin1
混饭	hun4'fan4
淹宿	yan1'su4
淹没	yan1'mo4
淹盖	yan1'gai4
淹缠	yan1'chan5
淹识	yan1'shi4
淹践	yan1'jian5
添缀	tian1'zhui4
添补	tian1'bu5
清乐	qing1'yue4
清切	qing1'qie4
清剿	qing1'jiao3
清吹	qing1'chui4
清和	qing1'he2
清场	qing1'chang2
清扫	qing1'sao3
清操	qing1'cao1
清楚	qing1'chu3
清楚	qing1'chu5
清澄	qing1'cheng2
清澹	qing1'dan4
清玩	qing1'wan4
清空	qing1'kong1
清绩	qing1'ji1
清还	qing1'huan2
清都	qing1'du1
渊塞	yuan1'se4
渊识	yuan1'shi4
渐变	jian4'bian4
渐弱	jian4'ruo4
渐悟	jian4'wu4
渐教	jian4'jiao4
渐染	jian1'ran3
渐次	jian4'ci4
渐洳	jian1'ru4
渐渐	jian4'jian4
渐近	jian4'jin4
渐进	jian4'jin4
渑池	mian3'chi2
渑池	min3'chi2
渔场	yu2'chang3
渔父	yu2'fu3
渠们	qu2'men5
渠侬	qu2'nong2
渠冲	qu2'chong1
渠县	qu2'xian4
渠水	qu2'shui3
渠江	qu2'jiang1
渠沟	qu2'gou1
渠渠	qu2'qu2
渠率	qu2'shuai4
渠辈	qu2'bei4
渠道	qu2'dao4
渠魁	qu2'kui2
渡假	du4'jia4
渣子	zha1'zi5
